Ward,Neighbourhood Number,Neighbourhood Name,Age Range,Population
Ward 8,6491,Mill Creek Ravine North,50-54,0
Ward 4,2030,Bannerman,0-4,150
Ward 5,4080,Callingwood South,25-29,417
Ward 12,6211,Ellerslie,25-29,394
Ward 5,4420,Quesnell Heights,40-44,17
Ward 3,3040,Beaumaris,30-34,248
Ward 9,5080,Brander Gardens,70-74,91
Ward 9,5300,Ogilvie Ridge,60-64,86
Ward 4,4019,Anthony Henday Energy Park,85+,0
Ward 10,5470,Steinhauer,10-14,110
Ward 1,4410,Poundmaker Industrial,0-4,0
Ward 9,5080,Brander Gardens,5-9,147
Ward 5,4070,Callingwood North,40-44,156
Ward 2,3150,Cumberland,50-54,388
Ward 9,5130,Carter Crest,75-79,64
Ward 10,5180,Ermineskin,80-84,212
Ward 1,4030,Armstrong Industrial,25-29,0
Ward 3,2700,Schonsee,25-29,305
Ward 11,6190,Edmonton Research and Development Park,45-49,0
Ward 1,4750,Rosenthal,35-39,408
Ward 3,2600,Ozerna,80-84,47
Ward 9,5476,Magrath Heights,85+,52
Ward 8,6240,Fulton Place,5-9,113
Ward 9,5456,Heritage Valley Area,65-69,0
Ward 1,4540,Terra Losa,Prefer Not to Answer,439
Ward 5,4070,Callingwood North,10-14,112
Ward 11,6260,Girard Industrial,25-29,0
Ward 1,4640,Wilson Industrial,25-29,0
Ward 1,4630,White Industrial,35-39,0
Ward 4,2671,Marquis,30-34,1
Ward 2,3060,Caernarvon,65-69,233
Ward 3,3280,Lorelei,50-54,208
Ward 3,2241,Eaux Claires,Prefer Not to Answer,788
Ward 9,5350,Rhatigan Ridge,35-39,151
Ward 12,6216,The Orchards At Ellerslie,45-49,227
Ward 9,5463,Desrochers Area,0-4,124
Ward 6,1150,Oliver,5-9,142
Ward 2,3220,Hagmann Estate Industrial,85+,0
Ward 9,5230,Henderson Estates,30-34,61
Ward 10,5050,Blackmud Creek Ravine,70-74,0
Ward 11,6590,Pylypow Industrial,25-29,0
Ward 12,6442,Silver Berry,30-34,631
Ward 8,5200,Garneau,85+,43
Ward 4,2390,Kernohan,40-44,138
Ward 11,6340,Kameyosek,65-69,98
Ward 5,4462,Edgemont,25-29,301
Ward 5,4270,Lymburn,55-59,454
Ward 11,6650,Rosedale Industrial,25-29,0
Ward 11,6492,Mill Creek Ravine South,50-54,0
Ward 1,4340,Morin Industrial,45-49,0
Ward 3,3190,Elsinore,55-59,171
Ward 5,4070,Callingwood North,0-4,112
Ward 7,2020,Balwin,40-44,221
Ward 10,5490,Sweet Grass,60-64,160
Ward 8,5040,Belgravia,5-9,107
Ward 10,5120,Calgary Trail South,70-74,0
Ward 10,5467,Cavanagh,75-79,2
Ward 12,6030,Bisset,25-29,259
Ward 11,6500,Mill Woods Golf Course,15-19,0
Ward 5,4120,Donsdale,5-9,49
Ward 5,4280,Lynnwood,40-44,230
Ward 1,4018,Anthony Henday Big Lake,5-9,0
Ward 1,4487,Secord,30-34,565
Ward 5,4430,Rio Terrace,45-49,79
Ward 1,4290,Mayfield,55-59,148
Ward 10,5360,Rideau Park,0-4,48
Ward 3,2050,Belle Rive,65-69,192
Ward 1,3140,Crestwood,20-24,124
Ward 9,5401,River Valley Fort Edmonton,85+,0
Ward 11,6600,Richfield,5-9,305
Ward 12,6662,Walker,60-64,271
Ward 7,1130,Elmwood Park,5-9,44
Ward 6,1210,Riverdale,40-44,136
Ward 9,5080,Brander Gardens,10-14,158
Ward 11,6690,Southeast Industrial,45-49,0
Ward 5,4610,Westridge,45-49,107
Ward 1,4474,Starling,60-64,55
Ward 10,5120,Calgary Trail South,0-4,0
Ward 3,3370,Rapperswill,55-59,113
Ward 4,4022,Anthony Henday Clareview,30-34,0
Ward 8,6180,Eastgate Business Park,40-44,0
Ward 5,4420,Quesnell Heights,55-59,33
Ward 11,6760,Tweddle Place,10-14,213
Ward 8,6350,Kenilworth,55-59,187
Ward 11,6610,Ritchie,80-84,35
Ward 12,6140,Crawford Plains,65-69,196
Ward 11,6650,Rosedale Industrial,60-64,0
Ward 4,2710,Sifton Park,80-84,18
Ward 1,4660,Youngstown Industrial,Prefer Not to Answer,0
Ward 6,1030,Central McDougall,Prefer Not to Answer,1558
Ward 11,6330,Jackson Heights,50-54,245
Ward 10,5466,Cashman,70-74,0
Ward 11,6090,Coronet Addition Industrial,80-84,0
Ward 1,4580,West Jasper Place,25-29,152
Ward 6,1020,Boyle Street,50-54,248
Ward 11,6410,Maple Ridge,5-9,69
Ward 5,4390,Patricia Heights,5-9,116
Ward 10,5550,Whitemud Creek Ravine North,75-79,0
Ward 1,4040,Belmead,20-24,300
Ward 1,4410,Poundmaker Industrial,40-44,0
Ward 5,4610,Westridge,50-54,78
Ward 7,1100,Eastwood,40-44,205
Ward 9,5090,Brookside,85+,43
Ward 10,5466,Cashman,25-29,0
Ward 11,6720,Tawa,40-44,128
Ward 1,4060,Britannia Youngstown,40-44,262
Ward 3,2450,Lago Lindo,15-19,193
Ward 11,6340,Kameyosek,35-39,198
Ward 11,6410,Maple Ridge,75-79,56
Ward 1,4011,Anthony Henday,50-54,0
Ward 4,2280,Fraser,20-24,197
Ward 2,1230,Spruce Avenue,50-54,92
Ward 9,5401,River Valley Fort Edmonton,35-39,0
Ward 10,5220,Greenfield,75-79,185
Ward 10,5466,Cashman,65-69,0
Ward 10,5451,Richford,75-79,45
Ward 11,6400,Lee Ridge,20-24,137
Ward 9,5405,River Valley Windermere,45-49,0
Ward 10,5467,Cavanagh,85+,0
Ward 1,4230,Jasper Park,20-24,78
Ward 1,4740,Webber Greens,30-34,208
Ward 12,8886,Edmonton South East,50-54,19
Ward 6,3381,River Valley Glenora,50-54,0
Ward 1,4310,Meadowlark Park,65-69,131
Ward 2,4320,Mistatim Industrial,30-34,0
Ward 10,4024,Anthony Henday South Blackburne,80-84,0
Ward 11,6520,Mill Woods Town Centre,85+,105
Ward 5,4560,Thorncliff,25-29,254
Ward 9,5468,Graydon Hill,20-24,31
Ward 9,8888,Edmonton South West,70-74,1
Ward 4,2251,Ebbers,55-59,19
Ward 4,2320,Hairsine,45-49,93
Ward 4,2710,Sifton Park,50-54,99
Ward 5,4468,Stillwater,85+,0
Ward 11,6680,Satoo,10-14,196
Ward 3,3190,Elsinore,5-9,111
Ward 6,1030,Central McDougall,80-84,28
Ward 1,4011,Anthony Henday,40-44,0
Ward 1,4470,Rural West Big Lake,45-49,0
Ward 10,5110,Calgary Trail North,35-39,0
Ward 10,5120,Calgary Trail South,45-49,0
Ward 10,5540,Westbrook Estates,55-59,71
Ward 1,4474,Starling,85+,1
Ward 4,4019,Anthony Henday Energy Park,50-54,0
Ward 12,6665,Anthony Henday South East,70-74,0
Ward 6,1200,River Valley Victoria,30-34,0
Ward 3,2440,Klarvatten,50-54,374
Ward 1,4477,Kinglet Gardens,25-29,7
Ward 1,4600,West Sheffield Industrial,25-29,0
Ward 2,3250,Kensington,70-74,141
Ward 10,5250,Keheewin,75-79,101
Ward 1,4020,Aldergrove,85+,45
Ward 12,6665,Anthony Henday South East,Prefer Not to Answer,0
Ward 10,5530,University of Alberta Farm,25-29,0
Ward 5,4380,Ormsby Place,30-34,357
Ward 8,6240,Fulton Place,15-19,101
Ward 1,4190,Hawin Park Estate Industrial,15-19,0
Ward 10,5120,Calgary Trail South,65-69,0
Ward 6,3381,River Valley Glenora,75-79,0
Ward 5,4467,River Valley Cameron,70-74,0
Ward 2,1280,Yellowhead Corridor West,65-69,0
Ward 2,3290,McArthur Industrial,5-9,0
Ward 11,6100,Coronet Industrial,15-19,0
Ward 4,2340,Hollick-Kenyon,15-19,391
Ward 7,1190,River Valley Kinnaird,80-84,0
Ward 4,2280,Fraser,55-59,258
Ward 8,6730,Terrace Heights,10-14,66
Ward 5,4462,Edgemont,75-79,33
