Ward,Neighbourhood Number,Neighbourhood Name,Age Range,Population
Ward 10,5260,Lansdowne,15-19,74
Ward 10,5250,Keheewin,0-4,80
Ward 1,4350,Norwester Industrial,10-14,0
Ward 4,2280,Fraser,25-29,232
Ward 9,4014,Anthony Henday South,65-69,0
Ward 7,1240,Virginia Park,55-59,40
Ward 7,2580,Northmount,65-69,99
Ward 9,5630,Leger,80-84,34
Ward 10,5310,Parkallen,80-84,17
Ward 1,4040,Belmead,Prefer Not to Answer,324
Ward 7,2090,Bergman,30-34,55
Ward 3,2410,Kilkenny,5-9,318
Ward 3,3490,Goodridge Corners,5-9,0
Ward 10,5180,Ermineskin,55-59,247
Ward 1,4310,Meadowlark Park,20-24,92
Ward 9,5630,Leger,20-24,182
Ward 6,1150,Oliver,25-29,2092
Ward 5,4120,Donsdale,60-64,120
Ward 1,4030,Armstrong Industrial,45-49,0
Ward 9,5100,Bulyea Heights,50-54,201
Ward 8,6630,River Valley Riverside,55-59,0
Ward 2,3410,Sherbrooke,45-49,132
Ward 2,3430,Wellington,45-49,178
Ward 1,4180,Glenwood,80-84,146
Ward 10,5530,University of Alberta Farm,5-9,0
Ward 10,5180,Ermineskin,30-34,425
Ward 8,5520,University of Alberta,50-54,0
Ward 11,6340,Kameyosek,70-74,78
Ward 1,4020,Aldergrove,20-24,340
Ward 11,6520,Mill Woods Town Centre,80-84,73
Ward 4,2311,Gorman,25-29,0
Ward 10,5210,Grandview Heights,15-19,79
Ward 3,3030,Baturyn,35-39,334
Ward 9,5380,River Valley Terwillegar,50-54,0
Ward 4,2070,Belmont,30-34,327
Ward 9,5469,Paisley,35-39,211
Ward 7,1240,Virginia Park,65-69,25
Ward 7,1130,Elmwood Park,35-39,65
Ward 9,5630,Leger,60-64,153
Ward 9,5456,Heritage Valley Area,85+,0
Ward 2,3360,Rampart Industrial,0-4,0
Ward 1,4040,Belmead,60-64,328
Ward 9,5570,Windermere,75-79,90
Ward 10,5458,Allard,40-44,584
Ward 2,3060,Caernarvon,85+,39
Ward 6,3381,River Valley Glenora,85+,0
Ward 2,3060,Caernarvon,Prefer Not to Answer,685
Ward 8,5370,River Valley Mayfair,10-14,0
Ward 8,6240,Fulton Place,10-14,113
Ward 2,3470,Carlton,75-79,49
Ward 5,4380,Ormsby Place,65-69,255
Ward 9,5090,Brookside,40-44,133
Ward 2,3470,Carlton,30-34,420
Ward 3,2410,Kilkenny,Prefer Not to Answer,553
Ward 1,4290,Mayfield,20-24,105
Ward 12,6443,Tamarack,30-34,698
Ward 11,6280,Greenview,15-19,145
Ward 2,4170,Garside Industrial,20-24,0
Ward 1,4510,Stone Industrial,35-39,0
Ward 7,2640,River Valley Highlands,35-39,0
Ward 1,4400,Place LaRue,20-24,0
Ward 4,2611,Cy Becker,65-69,27
Ward 12,6665,Anthony Henday South East,80-84,0
Ward 10,5250,Keheewin,35-39,157
Ward 11,6492,Mill Creek Ravine South,80-84,0
Ward 5,4080,Callingwood South,85+,101
Ward 9,5640,Terwillegar Towne,Prefer Not to Answer,837
Ward 1,4300,McNamara Industrial,30-34,0
Ward 1,4010,Alberta Park Industrial,60-64,0
Ward 5,4463,Riverview Area,5-9,13
Ward 9,5642,South Terwillegar,65-69,243
Ward 9,5300,Ogilvie Ridge,20-24,52
Ward 2,3390,Rosslyn,50-54,201
Ward 4,2390,Kernohan,Prefer Not to Answer,414
Ward 7,2360,Industrial Heights,50-54,0
Ward 3,2440,Klarvatten,20-24,355
Ward 10,5050,Blackmud Creek Ravine,65-69,0
Ward 11,6650,Rosedale Industrial,Prefer Not to Answer,0
Ward 5,4464,The Uplands,85+,4
Ward 1,4520,Summerlea,25-29,68
Ward 3,2440,Klarvatten,5-9,426
Ward 2,3430,Wellington,80-84,64
Ward 9,8888,Edmonton South West,50-54,12
Ward 10,5020,Aspen Gardens,40-44,106
Ward 6,1090,Downtown,85+,174
Ward 9,5610,Haddow,35-39,258
Ward 1,4018,Anthony Henday Big Lake,Prefer Not to Answer,0
Ward 8,5200,Garneau,60-64,189
Ward 4,2521,McConachie Area,50-54,302
Ward 8,5330,Queen Alexandra,50-54,166
Ward 9,5380,River Valley Terwillegar,55-59,0
Ward 9,5300,Ogilvie Ridge,75-79,34
Ward 1,4500,Sherwood,0-4,34
Ward 11,6450,Menisa,85+,29
Ward 2,3450,Woodcroft,60-64,168
Ward 5,4551,Granville,40-44,268
Ward 6,1200,River Valley Victoria,Prefer Not to Answer,0
Ward 4,4022,Anthony Henday Clareview,50-54,0
Ward 3,2410,Kilkenny,50-54,277
Ward 11,6420,Maple Ridge Industrial,55-59,0
Ward 5,4560,Thorncliff,5-9,191
Ward 5,4080,Callingwood South,10-14,253
Ward 3,3040,Beaumaris,65-69,328
Ward 11,6300,Hillview,30-34,232
Ward 11,6470,Meyonohk,25-29,154
Ward 4,2500,Matt Berry,20-24,295
Ward 7,2400,Kildare,40-44,142
Ward 10,5590,Blackburne,15-19,93
Ward 10,5020,Aspen Gardens,0-4,57
Ward 2,4150,Gagnon Estate Industrial,65-69,0
Ward 8,6230,Forest Heights,70-74,132
Ward 8,6270,Gold Bar,40-44,179
Ward 11,6430,McIntyre Industrial,35-39,0
Ward 4,4021,Anthony Henday Horse Hill,70-74,0
Ward 8,6620,River Valley Gold Bar,85+,0
Ward 11,6370,Kiniski Gardens,40-44,346
Ward 11,6170,Davies Industrial West,70-74,0
Ward 11,6110,CPR Irvine,Prefer Not to Answer,71
Ward 2,3450,Woodcroft,80-84,84
Ward 7,1100,Eastwood,60-64,161
Ward 9,5642,South Terwillegar,10-14,642
Ward 12,6790,Wild Rose,Prefer Not to Answer,899
Ward 2,4210,High Park Industrial,70-74,0
Ward 1,4590,West Meadowlark Park,15-19,174
Ward 12,6216,The Orchards At Ellerslie,25-29,406
Ward 9,5090,Brookside,35-39,134
Ward 10,5220,Greenfield,55-59,246
Ward 12,6214,Ellerslie Industrial,65-69,0
Ward 4,2130,Casselman,80-84,41
Ward 9,5505,Ambleside,85+,21
Ward 10,5467,Cavanagh,70-74,4
Ward 8,5520,University of Alberta,Prefer Not to Answer,0
Ward 12,8886,Edmonton South East,20-24,11
Ward 12,6213,Summerside,5-9,1415
Ward 5,4160,Gariepy,25-29,69
Ward 11,6460,Meyokumin,Prefer Not to Answer,194
Ward 9,5405,River Valley Windermere,15-19,0
Ward 4,2630,River Valley Hermitage,0-4,0
Ward 1,4660,Youngstown Industrial,45-49,0
Ward 11,6780,Weir Industrial,65-69,0
Ward 1,4485,Lewis Farms Industrial,30-34,4
Ward 7,2230,Delwood,55-59,270
Ward 4,2690,Rural North East South Sturgeon,75-79,6
Ward 2,3290,McArthur Industrial,20-24,0
Ward 9,5468,Graydon Hill,85+,0
Ward 7,1120,Edmonton Northlands,75-79,0
Ward 6,1140,McCauley,75-79,81
Ward 7,2010,Abbottsfield,Prefer Not to Answer,238
Ward 4,2530,McLeod,45-49,105
Ward 2,4015,Anthony Henday Mistatim,15-19,0
Ward 12,6030,Bisset,15-19,164
Ward 1,4475,Kinokamau Plains Area,35-39,3
Ward 12,6444,Laurel,Prefer Not to Answer,1110
Ward 6,3300,McQueen,40-44,90
Ward 1,4750,Rosenthal,45-49,238
Ward 2,3220,Hagmann Estate Industrial,60-64,0
Ward 4,4022,Anthony Henday Clareview,65-69,0
Ward 1,4180,Glenwood,50-54,271
Ward 9,5100,Bulyea Heights,65-69,296
Ward 8,6310,Holyrood,70-74,95
Ward 1,4700,Breckenridge Greens,85+,18
Ward 8,6630,River Valley Riverside,5-9,0
Ward 4,2541,Miller,10-14,185
Ward 1,4400,Place LaRue,15-19,0
Ward 4,2710,Sifton Park,75-79,30
Ward 9,5350,Rhatigan Ridge,5-9,193
Ward 9,5620,Hodgson,20-24,163
Ward 8,6180,Eastgate Business Park,5-9,0
Ward 2,3060,Caernarvon,60-64,225
Ward 1,4520,Summerlea,30-34,88
Ward 9,5464,Heritage Valley Town Centre Area,55-59,16
Ward 1,4060,Britannia Youngstown,65-69,200
Ward 2,3090,Carlisle,70-74,125
Ward 3,2600,Ozerna,35-39,191
Ward 9,8888,Edmonton South West,15-19,7
Ward 1,4410,Poundmaker Industrial,65-69,0
Ward 11,6430,McIntyre Industrial,40-44,0
Ward 6,3300,McQueen,85+,15
Ward 11,6160,Davies Industrial East,30-34,0
Ward 2,3320,Oxford,65-69,206
Ward 11,6110,CPR Irvine,75-79,0
Ward 5,4610,Westridge,65-69,109
Ward 5,4380,Ormsby Place,35-39,336
Ward 8,6310,Holyrood,50-54,199
Ward 7,1130,Elmwood Park,30-34,65
Ward 1,4620,Westview Village,5-9,65
Ward 2,3290,McArthur Industrial,0-4,0
Ward 3,3490,Goodridge Corners,55-59,0
Ward 1,4600,West Sheffield Industrial,Prefer Not to Answer,0
Ward 7,2560,Newton,80-84,48
Ward 4,2280,Fraser,60-64,301
Ward 1,4487,Secord,40-44,538
Ward 12,6665,Anthony Henday South East,15-19,0
Ward 4,2311,Gorman,20-24,0
Ward 7,2400,Kildare,75-79,134
Ward 9,5380,River Valley Terwillegar,45-49,0
Ward 2,1250,Westwood,0-4,102
Ward 9,5090,Brookside,45-49,112
Ward 2,4050,Bonaventure Industrial,Prefer Not to Answer,0
Ward 3,2450,Lago Lindo,Prefer Not to Answer,383
Ward 3,2050,Belle Rive,40-44,194
Ward 11,6400,Lee Ridge,40-44,163
Ward 9,5454,Rutherford,75-79,156
Ward 9,5477,Mactaggart,25-29,207
Ward 5,4070,Callingwood North,45-49,128
Ward 5,4160,Gariepy,5-9,104
Ward 12,6790,Wild Rose,75-79,135
Ward 10,5020,Aspen Gardens,10-14,109
Ward 3,2700,Schonsee,50-54,198
Ward 4,2671,Marquis,45-49,7
Ward 10,5466,Cashman,60-64,0
Ward 1,4475,Kinokamau Plains Area,75-79,4
Ward 1,4180,Glenwood,25-29,296
Ward 7,2660,Rundle Heights,25-29,171
Ward 12,6216,The Orchards At Ellerslie,30-34,619
Ward 5,4467,River Valley Cameron,40-44,0
Ward 1,4486,Stewart Greens,50-54,41
Ward 7,1070,Cromdale,85+,15
Ward 4,2340,Hollick-Kenyon,Prefer Not to Answer,540
Ward 11,6160,Davies Industrial East,65-69,0
Ward 11,6590,Pylypow Industrial,10-14,0
Ward 5,4140,Elmwood,35-39,168
Ward 12,8886,Edmonton South East,25-29,7
Ward 5,4140,Elmwood,25-29,207
Ward 7,2020,Balwin,45-49,212
Ward 7,2100,Beverly Heights,60-64,216
Ward 11,6480,Michaels Park,60-64,127
Ward 7,2040,Beacon Heights,60-64,174
Ward 3,2410,Kilkenny,85+,67
Ward 7,2580,Northmount,50-54,162
Ward 9,5350,Rhatigan Ridge,85+,66
Ward 11,6195,South Edmonton Common,60-64,0
Ward 7,2560,Newton,15-19,98
Ward 8,6040,Bonnie Doon,30-34,433
Ward 1,4487,Secord,10-14,355
Ward 11,6570,Parsons Industrial,40-44,0
Ward 10,5050,Blackmud Creek Ravine,10-14,0
Ward 3,3190,Elsinore,35-39,128
Ward 1,4510,Stone Industrial,5-9,0
Ward 9,5464,Heritage Valley Town Centre Area,50-54,18
Ward 11,6110,CPR Irvine,55-59,3
Ward 11,6460,Meyokumin,20-24,163
Ward 10,5458,Allard,65-69,131
Ward 12,6443,Tamarack,70-74,94
Ward 5,4469,River's Edge,70-74,0
Ward 3,2260,Evansdale,70-74,209
Ward 2,4150,Gagnon Estate Industrial,75-79,0
Ward 11,6780,Weir Industrial,45-49,0
Ward 11,6370,Kiniski Gardens,75-79,89
Ward 11,6590,Pylypow Industrial,75-79,0
Ward 1,4580,West Jasper Place,40-44,170
Ward 8,6270,Gold Bar,5-9,143
Ward 5,4560,Thorncliff,40-44,246
Ward 7,1080,Delton,Prefer Not to Answer,240
Ward 8,6070,Cloverdale,30-34,55
Ward 3,2410,Kilkenny,35-39,307
Ward 4,2690,Rural North East South Sturgeon,5-9,37
Ward 11,6195,South Edmonton Common,10-14,0
Ward 6,3381,River Valley Glenora,20-24,0
Ward 8,5580,Windsor Park,50-54,76
Ward 1,4630,White Industrial,65-69,0
Ward 5,4720,Glastonbury,65-69,230
Ward 4,2080,Belvedere,85+,65
Ward 9,5300,Ogilvie Ridge,Prefer Not to Answer,69
Ward 5,4468,Stillwater,0-4,18
Ward 2,3410,Sherbrooke,30-34,193
Ward 5,4469,River's Edge,85+,0
Ward 3,3030,Baturyn,Prefer Not to Answer,499
Ward 10,5511,Twin Brooks,20-24,356
Ward 1,4471,Trumpeter Area,80-84,5
Ward 2,3340,Pembina,20-24,34
Ward 4,2671,Marquis,0-4,2
Ward 5,4380,Ormsby Place,20-24,305
Ward 10,5457,Callaghan,65-69,98
Ward 12,6790,Wild Rose,40-44,613
Ward 7,2580,Northmount,15-19,147
Ward 1,4400,Place LaRue,80-84,0
Ward 5,4110,Dechene,35-39,72
Ward 2,3250,Kensington,0-4,138
Ward 10,5360,Rideau Park,30-34,139
Ward 12,8886,Edmonton South East,65-69,7
Ward 9,5463,Desrochers Area,Prefer Not to Answer,173
Ward 5,4280,Lynnwood,65-69,142
Ward 7,2640,River Valley Highlands,20-24,0
Ward 11,6110,CPR Irvine,5-9,0
Ward 1,4485,Lewis Farms Industrial,80-84,1
Ward 9,5469,Paisley,75-79,3
Ward 12,8886,Edmonton South East,Prefer Not to Answer,16
Ward 1,4471,Trumpeter Area,65-69,34
Ward 10,5457,Callaghan,35-39,340
Ward 9,5579,Glenridding Ravine,50-54,0
Ward 9,5464,Heritage Valley Town Centre Area,5-9,28
Ward 2,3090,Carlisle,45-49,212
Ward 11,6370,Kiniski Gardens,45-49,350
Ward 11,6250,Gainer Industrial,80-84,0
Ward 7,2400,Kildare,5-9,133
Ward 11,6600,Richfield,40-44,213
Ward 12,6663,Decoteau,10-14,5
Ward 2,4170,Garside Industrial,85+,0
Ward 6,3210,Grovenor,65-69,133
Ward 2,3050,Brown Industrial,80-84,0
Ward 11,6540,Morris Industrial,20-24,0
Ward 9,5620,Hodgson,70-74,103
Ward 1,4650,Winterburn Industrial Area East,20-24,0
Ward 12,6665,Anthony Henday South East,10-14,0
Ward 2,3390,Rosslyn,60-64,163
Ward 8,5370,River Valley Mayfair,70-74,0
Ward 12,6663,Decoteau,30-34,9
Ward 12,6390,Larkspur,5-9,292
Ward 7,1270,Yellowhead Corridor East,5-9,0
Ward 5,4551,Granville,0-4,214
Ward 12,6443,Tamarack,60-64,126
Ward 2,4320,Mistatim Industrial,10-14,0
Ward 2,1170,Prince Rupert,20-24,85
Ward 8,5370,River Valley Mayfair,50-54,0
Ward 9,5468,Graydon Hill,65-69,8
Ward 2,3360,Rampart Industrial,80-84,0
Ward 12,6216,The Orchards At Ellerslie,10-14,203
Ward 9,5100,Bulyea Heights,0-4,109
Ward 6,1200,River Valley Victoria,0-4,0
Ward 4,2530,McLeod,30-34,104
Ward 5,4270,Lymburn,45-49,342
Ward 12,6665,Anthony Henday South East,45-49,0
Ward 2,4150,Gagnon Estate Industrial,55-59,0
Ward 11,6360,King Edward Park,0-4,198
Ward 1,4350,Norwester Industrial,55-59,0
Ward 3,3280,Lorelei,65-69,208
Ward 2,3160,Dominion Industrial,85+,0
Ward 3,2450,Lago Lindo,75-79,77
Ward 7,2580,Northmount,60-64,174
Ward 1,4018,Anthony Henday Big Lake,80-84,0
Ward 2,1280,Yellowhead Corridor West,40-44,0
Ward 11,6250,Gainer Industrial,70-74,0
Ward 7,1070,Cromdale,30-34,198
Ward 8,5040,Belgravia,80-84,57
Ward 10,5110,Calgary Trail North,5-9,0
Ward 8,6350,Kenilworth,50-54,161
Ward 2,4015,Anthony Henday Mistatim,85+,0
Ward 2,3150,Cumberland,65-69,189
Ward 11,6370,Kiniski Gardens,10-14,329
Ward 8,5390,River Valley Walterdale,70-74,0
Ward 7,2290,Glengarry,85+,101
Ward 10,8887,Edmonton South Central,35-39,2
Ward 8,6270,Gold Bar,85+,63
Ward 4,2390,Kernohan,70-74,166
Ward 8,6230,Forest Heights,5-9,145
Ward 8,6040,Bonnie Doon,15-19,168
Ward 2,3020,Baranow,30-34,203
Ward 7,2420,Killarney,85+,77
Ward 3,2511,Mayliewan,85+,45
Ward 8,6320,Idylwylde,Prefer Not to Answer,183
Ward 10,5550,Whitemud Creek Ravine North,45-49,0
Ward 12,6213,Summerside,80-84,56
Ward 11,6570,Parsons Industrial,85+,0
Ward 1,4060,Britannia Youngstown,10-14,210
Ward 4,2671,Marquis,15-19,3
Ward 11,6680,Satoo,20-24,177
Ward 10,5010,Allendale,10-14,68
Ward 9,4014,Anthony Henday South,10-14,0
Ward 5,4012,Anthony Henday South West,55-59,0
Ward 4,2720,York,0-4,136
Ward 12,6661,Charlesworth,80-84,19
Ward 4,2270,Evergreen,10-14,64
Ward 2,3020,Baranow,50-54,85
Ward 9,5462,Chappelle Area,65-69,115
Ward 5,4451,River Valley Oleskiw,80-84,0
Ward 9,5642,South Terwillegar,30-34,926
Ward 9,5340,Ramsay Heights,60-64,242
Ward 10,5180,Ermineskin,10-14,197
Ward 4,2110,Brintnell,80-84,29
Ward 1,4200,High Park,5-9,54
Ward 8,6310,Holyrood,0-4,137
Ward 3,2260,Evansdale,0-4,308
Ward 1,4520,Summerlea,5-9,32
Ward 4,2380,Kennedale Industrial,25-29,0
Ward 11,6090,Coronet Addition Industrial,60-64,0
Ward 7,2010,Abbottsfield,80-84,7
Ward 7,1100,Eastwood,Prefer Not to Answer,1348
Ward 7,1270,Yellowhead Corridor East,15-19,0
Ward 5,4451,River Valley Oleskiw,0-4,0
Ward 1,4300,McNamara Industrial,50-54,0
Ward 2,4015,Anthony Henday Mistatim,5-9,0
Ward 12,6770,Weinlos,5-9,167
Ward 11,6280,Greenview,75-79,62
Ward 1,4200,High Park,80-84,26
Ward 4,2671,Marquis,5-9,4
Ward 11,6460,Meyokumin,40-44,200
Ward 11,6560,Papaschase Industrial,50-54,0
Ward 5,4466,Cameron Heights,65-69,86
Ward 10,5550,Whitemud Creek Ravine North,5-9,0
Ward 4,2145,Clareview Town Centre,5-9,202
Ward 1,4640,Wilson Industrial,55-59,0
Ward 1,4600,West Sheffield Industrial,65-69,0
Ward 6,1210,Riverdale,75-79,43
Ward 9,8888,Edmonton South West,0-4,4
Ward 2,3010,Athlone,60-64,242
Ward 12,6661,Charlesworth,60-64,181
Ward 10,5320,Pleasantview,60-64,208
Ward 7,2360,Industrial Heights,85+,0
Ward 1,4350,Norwester Industrial,50-54,0
Ward 7,2650,River Valley Rundle,65-69,0
Ward 8,6491,Mill Creek Ravine North,25-29,0
Ward 7,1100,Eastwood,45-49,185
Ward 9,5300,Ogilvie Ridge,25-29,32
Ward 11,6340,Kameyosek,0-4,145
Ward 4,2690,Rural North East South Sturgeon,65-69,23
Ward 9,5620,Hodgson,75-79,85
Ward 3,3030,Baturyn,45-49,218
Ward 11,6610,Ritchie,10-14,103
Ward 9,5476,Magrath Heights,55-59,225
Ward 2,3010,Athlone,85+,44
Ward 11,6650,Rosedale Industrial,85+,0
Ward 11,6510,Mill Woods Park,50-54,0
Ward 10,5320,Pleasantview,0-4,176
Ward 4,2270,Evergreen,80-84,23
Ward 5,4420,Quesnell Heights,0-4,8
Ward 11,6540,Morris Industrial,25-29,0
Ward 9,4013,Anthony Henday Terwillegar,40-44,0
Ward 2,3350,Prince Charles,80-84,12
Ward 5,4610,Westridge,40-44,74
Ward 10,5467,Cavanagh,65-69,9
Ward 1,4240,La Perle,85+,65
Ward 8,6380,Lambton Industrial,50-54,0
Ward 4,2320,Hairsine,25-29,141
Ward 5,4570,Wedgewood Heights,5-9,95
Ward 1,4290,Mayfield,80-84,31
Ward 6,1180,Queen Mary Park,Prefer Not to Answer,1935
Ward 8,5151,Strathcona Junction,0-4,0
Ward 5,4468,Stillwater,40-44,17
Ward 12,6443,Tamarack,65-69,115
Ward 11,6330,Jackson Heights,20-24,281
Ward 10,5458,Allard,30-34,808
Ward 2,3450,Woodcroft,50-54,105
Ward 1,4310,Meadowlark Park,60-64,199
Ward 4,2270,Evergreen,50-54,104
Ward 1,4485,Lewis Farms Industrial,50-54,6
Ward 1,4630,White Industrial,Prefer Not to Answer,0
Ward 8,6270,Gold Bar,55-59,186
Ward 1,4240,La Perle,35-39,347
Ward 6,1090,Downtown,65-69,340
Ward 11,6670,Sakaw,25-29,273
Ward 1,4500,Sherwood,80-84,23
Ward 9,5477,Mactaggart,70-74,108
Ward 7,1010,Alberta Avenue,85+,65
Ward 1,4487,Secord,Prefer Not to Answer,413
Ward 8,5040,Belgravia,70-74,94
Ward 6,1090,Downtown,70-74,230
Ward 6,1220,Rossdale,25-29,75
Ward 1,4490,Sheffield Industrial,70-74,0
Ward 2,3430,Wellington,70-74,78
Ward 4,2311,Gorman,Prefer Not to Answer,0
Ward 6,1030,Central McDougall,35-39,373
Ward 11,6300,Hillview,50-54,175
Ward 2,4330,Mitchell Industrial,25-29,0
Ward 11,6290,Hazeldean,0-4,125
Ward 2,1170,Prince Rupert,10-14,41
Ward 10,5210,Grandview Heights,50-54,70
Ward 6,1140,McCauley,40-44,236
Ward 8,6491,Mill Creek Ravine North,5-9,0
Ward 5,3382,River Valley Laurier,Prefer Not to Answer,0
Ward 2,3240,Inglewood,30-34,632
Ward 12,6441,Maple,10-14,122
Ward 8,6320,Idylwylde,20-24,95
Ward 6,1140,McCauley,5-9,72
Ward 5,4469,River's Edge,Prefer Not to Answer,0
Ward 2,3360,Rampart Industrial,35-39,0
Ward 4,2390,Kernohan,60-64,222
Ward 8,5580,Windsor Park,Prefer Not to Answer,141
Ward 10,5270,Lendrum Place,70-74,67
Ward 3,4017,Anthony Henday Lake District,45-49,0
Ward 11,6420,Maple Ridge Industrial,15-19,0
Ward 7,2020,Balwin,30-34,235
Ward 4,2251,Ebbers,45-49,39
Ward 1,4486,Stewart Greens,35-39,111
Ward 8,5390,River Valley Walterdale,65-69,0
Ward 1,4477,Kinglet Gardens,20-24,4
Ward 7,2420,Killarney,5-9,278
Ward 9,5080,Brander Gardens,15-19,128
Ward 10,5453,Blackmud Creek,0-4,106
Ward 7,2040,Beacon Heights,65-69,129
Ward 2,3050,Brown Industrial,85+,0
Ward 1,4011,Anthony Henday,75-79,0
Ward 1,4060,Britannia Youngstown,60-64,290
Ward 12,6390,Larkspur,15-19,337
Ward 1,4590,West Meadowlark Park,25-29,209
Ward 1,4660,Youngstown Industrial,65-69,0
Ward 4,4022,Anthony Henday Clareview,20-24,0
Ward 5,4560,Thorncliff,20-24,266
Ward 10,5160,Duggan,65-69,179
Ward 10,4024,Anthony Henday South Blackburne,25-29,0
Ward 2,3350,Prince Charles,55-59,99
Ward 1,4650,Winterburn Industrial Area East,10-14,0
Ward 3,3120,Chambery,35-39,204
Ward 2,4150,Gagnon Estate Industrial,10-14,0
Ward 8,5390,River Valley Walterdale,55-59,0
Ward 12,6445,Aster,70-74,0
Ward 9,5350,Rhatigan Ridge,70-74,200
Ward 4,2080,Belvedere,55-59,298
Ward 2,3010,Athlone,70-74,83
Ward 9,5575,Windermere Area,45-49,0
Ward 4,2681,Edmonton Energy And Technology Park,60-64,6
Ward 9,5300,Ogilvie Ridge,35-39,46
Ward 9,5610,Haddow,30-34,226
Ward 2,3160,Dominion Industrial,30-34,0
Ward 4,2430,Kirkness,5-9,240
Ward 4,2530,McLeod,50-54,142
Ward 11,6410,Maple Ridge,20-24,55
Ward 5,4464,The Uplands,40-44,21
Ward 12,6441,Maple,70-74,30
Ward 8,6710,Strathearn,10-14,85
Ward 1,4473,Hawks Ridge,15-19,22
Ward 1,4580,West Jasper Place,15-19,121
Ward 1,4230,Jasper Park,55-59,124
Ward 4,2030,Bannerman,30-34,196
Ward 10,8887,Edmonton South Central,20-24,5
Ward 9,5462,Chappelle Area,30-34,1239
Ward 1,4490,Sheffield Industrial,55-59,0
Ward 11,6410,Maple Ridge,60-64,142
Ward 12,6150,Daly Grove,85+,28
Ward 8,6070,Cloverdale,0-4,30
Ward 4,2521,McConachie Area,85+,20
Ward 1,4350,Norwester Industrial,Prefer Not to Answer,0
Ward 3,2410,Kilkenny,60-64,326
Ward 11,6300,Hillview,35-39,228
Ward 9,5080,Brander Gardens,80-84,60
Ward 7,2400,Kildare,45-49,128
Ward 5,4110,Dechene,45-49,84
Ward 7,1070,Cromdale,70-74,50
Ward 11,6640,Roper Industrial,45-49,0
Ward 5,4070,Callingwood North,35-39,230
Ward 7,1070,Cromdale,20-24,100
Ward 4,2311,Gorman,50-54,0
Ward 2,4050,Bonaventure Industrial,25-29,0
Ward 4,2541,Miller,25-29,172
Ward 7,1100,Eastwood,50-54,192
Ward 6,3440,Westmount,60-64,363
Ward 2,3160,Dominion Industrial,55-59,0
Ward 2,3480,Hudson,80-84,14
Ward 1,3140,Crestwood,0-4,89
Ward 9,5340,Ramsay Heights,70-74,180
Ward 10,5511,Twin Brooks,60-64,496
Ward 1,4410,Poundmaker Industrial,50-54,0
Ward 9,4014,Anthony Henday South,15-19,0
Ward 2,1170,Prince Rupert,15-19,51
Ward 7,2090,Bergman,75-79,38
Ward 10,5010,Allendale,65-69,100
Ward 11,6200,Ekota,50-54,150
Ward 8,5480,Strathcona,40-44,479
Ward 10,5400,River Valley Whitemud,35-39,0
Ward 4,2350,Homesteader,85+,16
Ward 9,5190,Falconer Heights,50-54,123
Ward 11,6760,Tweddle Place,75-79,67
Ward 4,2311,Gorman,30-34,0
Ward 7,2550,Montrose,35-39,171
Ward 11,6280,Greenview,25-29,174
Ward 3,2700,Schonsee,35-39,339
Ward 7,1270,Yellowhead Corridor East,70-74,0
Ward 4,2340,Hollick-Kenyon,25-29,431
Ward 7,1160,Parkdale,0-4,121
Ward 2,3250,Kensington,5-9,139
Ward 7,2040,Beacon Heights,Prefer Not to Answer,419
Ward 5,4451,River Valley Oleskiw,35-39,0
Ward 1,4740,Webber Greens,20-24,132
Ward 9,5620,Hodgson,5-9,140
Ward 10,5110,Calgary Trail North,85+,0
Ward 2,3450,Woodcroft,45-49,115
Ward 10,5020,Aspen Gardens,65-69,87
Ward 4,2380,Kennedale Industrial,80-84,0
Ward 9,5300,Ogilvie Ridge,5-9,51
Ward 4,2671,Marquis,25-29,1
Ward 5,4390,Patricia Heights,25-29,116
Ward 2,1170,Prince Rupert,40-44,86
Ward 8,5151,Strathcona Junction,50-54,0
Ward 1,4400,Place LaRue,60-64,0
Ward 6,1220,Rossdale,65-69,46
Ward 12,6216,The Orchards At Ellerslie,70-74,24
Ward 4,2270,Evergreen,40-44,78
Ward 1,4180,Glenwood,65-69,195
Ward 7,1010,Alberta Avenue,70-74,151
Ward 11,6200,Ekota,65-69,147
Ward 1,4040,Belmead,15-19,283
Ward 11,6470,Meyonohk,70-74,140
Ward 1,4630,White Industrial,15-19,0
Ward 5,4360,Oleskiw,35-39,130
Ward 11,6110,CPR Irvine,20-24,12
Ward 2,1111,Blatchford Area,60-64,0
Ward 9,5578,Glenridding Heights,35-39,442
Ward 4,4019,Anthony Henday Energy Park,20-24,0
Ward 12,6390,Larkspur,20-24,411
Ward 4,4022,Anthony Henday Clareview,55-59,0
Ward 4,2500,Matt Berry,Prefer Not to Answer,359
Ward 9,5401,River Valley Fort Edmonton,5-9,0
Ward 11,6700,Strathcona Industrial Park,60-64,0
Ward 10,5270,Lendrum Place,Prefer Not to Answer,312
Ward 5,4467,River Valley Cameron,Prefer Not to Answer,0
Ward 7,2090,Bergman,40-44,48
Ward 4,2380,Kennedale Industrial,70-74,0
Ward 11,6480,Michaels Park,70-74,88
Ward 1,4600,West Sheffield Industrial,60-64,0
Ward 6,3381,River Valley Glenora,10-14,0
Ward 7,2290,Glengarry,75-79,88
Ward 1,4473,Hawks Ridge,80-84,0
Ward 4,2611,Cy Becker,20-24,86
Ward 2,3250,Kensington,10-14,163
Ward 6,1150,Oliver,15-19,143
